pais,indicador,año,valor
BRA,pib_per_capita,2024,9566.74408628371
BRA,pib_per_capita,2023,9288.02594608687
BRA,pib_per_capita,2022,9032.08377657776
BRA,pib_per_capita,2021,8799.22844579944
BRA,pib_per_capita,2020,8435.01046209185
BRA,pib_per_capita,2019,8771.43950372603
BRA,pib_per_capita,2018,8722.33529970988
BRA,crecimiento_pib,2024,3.41931516597739
BRA,crecimiento_pib,2023,3.24165532813583
BRA,crecimiento_pib,2022,3.01669435408112
BRA,crecimiento_pib,2021,4.7626043797061
BRA,crecimiento_pib,2020,-3.27675879612903
BRA,crecimiento_pib,2019,1.22077782271943
BRA,crecimiento_pib,2018,1.78366676137003
BRA,inflacion,2024,4.36746407652336
BRA,inflacion,2023,4.59356282283203
BRA,inflacion,2022,9.28010608956872
BRA,inflacion,2021,8.30165975585673
BRA,inflacion,2020,3.21176803803376
BRA,inflacion,2019,3.73297621216893
BRA,inflacion,2018,3.66485028376728
BRA,desempleo,2025,5.97
BRA,desempleo,2024,6.801
BRA,desempleo,2023,7.947
BRA,desempleo,2022,9.231
BRA,desempleo,2021,13.158
BRA,desempleo,2020,13.697
BRA,desempleo,2019,11.936
BRA,desempleo,2018,12.329
BRA,apertura_comercial,2024,35.5845239385389
BRA,apertura_comercial,2023,33.6662298301284
BRA,apertura_comercial,2022,38.8160659764321
BRA,apertura_comercial,2021,37.6563307592575
BRA,apertura_comercial,2020,32.3020785443492
BRA,apertura_comercial,2019,28.8902578697354
BRA,apertura_comercial,2018,28.876203376153
CHL,pib_per_capita,2024,14579.4001071307
CHL,pib_per_capita,2023,14280.3475638842
CHL,pib_per_capita,2022,14283.1489501524
CHL,pib_per_capita,2021,14051.4713630677
CHL,pib_per_capita,2020,12679.024004022
CHL,pib_per_capita,2019,13630.5935435578
CHL,pib_per_capita,2018,13763.0068844795
CHL,crecimiento_pib,2024,2.64431154871538
CHL,crecimiento_pib,2023,0.521367977246825
CHL,crecimiento_pib,2022,2.15399356192458
CHL,crecimiento_pib,2021,11.3149204879049
CHL,crecimiento_pib,2020,-6.14347479224092
CHL,crecimiento_pib,2019,0.634367533828438
CHL,crecimiento_pib,2018,3.99002947789977
CHL,inflacion,2024,4.29763891572524
CHL,inflacion,2023,7.58168251407962
CHL,inflacion,2022,11.6438667110559
CHL,inflacion,2021,4.52456838259143
CHL,inflacion,2020,3.04549084804326
CHL,inflacion,2019,2.55754475703326
CHL,inflacion,2018,2.43488981353057
CHL,desempleo,2025,8.974
CHL,desempleo,2024,8.718
CHL,desempleo,2023,9.013
CHL,desempleo,2022,8.249
CHL,desempleo,2021,9.281
CHL,desempleo,2020,10.934
CHL,desempleo,2019,7.493
CHL,desempleo,2018,7.623
CHL,apertura_comercial,2024,63.859857248066
CHL,apertura_comercial,2023,60.7247236874408
CHL,apertura_comercial,2022,75.2016177425303
CHL,apertura_comercial,2021,64.8774063237834
CHL,apertura_comercial,2020,58.1828635629748
CHL,apertura_comercial,2019,57.6117545680829
CHL,apertura_comercial,2018,58.177050633437
COL,pib_per_capita,2024,6863.59563194342
COL,pib_per_capita,2023,6828.59753791113
COL,pib_per_capita,2022,6856.72590505374
COL,pib_per_capita,2021,6457.16921807086
COL,pib_per_capita,2020,5891.95523215403
COL,pib_per_capita,2019,6439.96359812647
COL,pib_per_capita,2018,6353.5464285392
COL,crecimiento_pib,2024,1.5983315366523
COL,crecimiento_pib,2023,0.712380031974334
COL,crecimiento_pib,2022,7.32827729427979
COL,crecimiento_pib,2021,10.8011981904878
COL,crecimiento_pib,2020,-7.18591413760859
COL,crecimiento_pib,2019,3.18685539245533
COL,crecimiento_pib,2018,2.56432428277704
COL,inflacion,2024,6.60908593728228
COL,inflacion,2023,11.7359044948689
COL,inflacion,2022,10.1772313546166
COL,inflacion,2021,3.49505757399448
COL,inflacion,2020,2.52663500084706
COL,inflacion,2019,3.52301932741446
COL,inflacion,2018,3.24056932930569
COL,desempleo,2025,8.29
COL,desempleo,2024,9.619
COL,desempleo,2023,9.591
COL,desempleo,2022,10.541
COL,desempleo,2021,13.898
COL,desempleo,2020,15.983
COL,desempleo,2019,10.28
COL,desempleo,2018,9.36
COL,apertura_comercial,2024,37.0254687077888
COL,apertura_comercial,2023,40.3881324933957
COL,apertura_comercial,2022,48.2826551123359
COL,apertura_comercial,2021,40.0591463936128
COL,apertura_comercial,2020,34.0555709680101
COL,apertura_comercial,2019,37.558533980839
COL,apertura_comercial,2018,36.5347527968973
URY,pib_per_capita,2024,18958.6033293537
URY,pib_per_capita,2023,18378.9833563662
URY,pib_per_capita,2022,18228.3558443761
URY,pib_per_capita,2021,17416.0052208869
URY,pib_per_capita,2020,16443.3635000843
URY,pib_per_capita,2019,17758.4384372986
URY,pib_per_capita,2018,17608.9441195037
URY,crecimiento_pib,2024,3.10825478066172
URY,crecimiento_pib,2023,0.742128785315927
URY,crecimiento_pib,2022,4.48622703072073
URY,crecimiento_pib,2021,5.84427312558179
URY,crecimiento_pib,2020,-7.35732706484723
URY,crecimiento_pib,2019,0.928351141267498
URY,crecimiento_pib,2018,0.164777608940113
URY,inflacion,2024,4.84914366613156
URY,inflacion,2023,5.86910359896119
URY,inflacion,2022,9.10437983075437
URY,inflacion,2021,7.74791402314762
URY,inflacion,2020,9.75640636078194
URY,inflacion,2019,7.88198870879619
URY,inflacion,2018,7.60653360377047
URY,desempleo,2025,7.516
URY,desempleo,2024,8.209
URY,desempleo,2023,8.355
URY,desempleo,2022,7.877
URY,desempleo,2021,9.328
URY,desempleo,2020,10.413
URY,desempleo,2019,8.836
URY,desempleo,2018,8.336
URY,apertura_comercial,2024,52.4649167856379
URY,apertura_comercial,2023,52.910987066463
URY,apertura_comercial,2022,61.0307951043821
URY,apertura_comercial,2021,58.3150410230338
URY,apertura_comercial,2020,47.7318733182088
URY,apertura_comercial,2019,49.7448341159636
URY,apertura_comercial,2018,47.7913104806475
